gene	occurances	unique alleles
sstT_1	162	43
sph	969	73
hdc	873	71
citG_1	210	38
licR_1	911	99
dhaL	1094	46
melA	895	120
pphA	1244	74
eis	8	4
msrR	1226	92
agrB_3	123	32
folT_1	935	55
lgt	768	49
pglF	632	138
pglC	454	95
tuaG	34	4
mshA	511	61
ugd	609	102
folT_2	935	45
levD	172	18
yfkN	296	34
rimI	869	19
abgT	202	56
licR_2	911	105
xynB_1	307	76
xynB_2	307	75
rodA_1	112	24
yknY	1136	103
rssB	257	49
licR_3	30	17
dps	736	24
clpC	866	65
yjcS	342	96
luxS	1193	22
mhqA	1004	66
mhqD	1129	74
dgaF_1	105	31
dgaE_1	104	46
norR	526	97
yjjG	167	24
agaC	459	47
manZ_5	833	111
araC	806	56
lacF_5	853	85
dgoA	131	14
dgoD	130	10
sasA_4	319	85
copR	3	1
lacD	696	53
lacC_3	506	97
lacB	389	22
lacA	372	24
lacR_3	211	32
gatC_3	403	41
lacR_4	50	9
sstT_2	162	39
ulaC	198	25
ulaB_1	163	24
mepA	163	27
gpmA_4	212	56
metN	1208	81
dgaF_2	105	30
dgaE_2	104	45
licT_4	725	91
umuC	557	73
yesO	1083	114
citG_2	210	37
citX	199	16
citF	199	37
citE	196	23
citD	199	11
citC	201	24
cimH	154	26
lsrR	134	11
soj_3	681	77
nrdF	1140	40
nrdE2	1152	86
rodA_2	112	16
topB_4	944	261
smc_3	652	137
agaA	633	60
cmtB	275	29
ulaB_2	163	21
soj_4	485	34
bdhA	24	6
folE	34	11
thcD	7	3
bmrA	100	25
clpL	5	5
lexA_3	47	22
deoD_1	7	4
yxdL	766	20
murR_1	1054	159
rfbX	269	61
epsE	68	11
epsD	183	35
murR_2	1054	161
cwlC	62	7
natA_1	776	35
ugl	140	32
oatA_1	317	79
arnA	104	6
arnC_3	575	111
glvR	488	60
lacE_3	345	69
lacG_3	803	62
xre	15	5
hsdR	87	41
mntA	7	2
mngA	568	65
paiA	566	29
galS	19	6
dcuS_1	643	32
dcuS_2	643	29
exuR	92	17
lolD_1	222	55
gdx	1076	41
lolD_2	222	55
chiA1	94	28
hmo	1097	113
natA_2	776	38
agrA_4	29	13
lacC_4	170	57
gmuC_3	968	148
oatA_2	317	102
focA	380	34
murI_1	204	34
deoD_2	7	4
ngcG	384	30
yjaB	173	12
murI_2	204	18
lcnD	444	48
malP_4	19	10
albC	56	2
soj	122	15
ssb	142	13
yvdM_1	747	24
hin_1	794	44
ecfT	1008	32
lrpC	272	17
def_1	900	25
pepV	879	38
glcC	822	33
bglA_1	96	23
npr_1	1009	88
icaA	125	30
pgmB	994	48
malP	829	47
mapP	961	49
agrB	894	26
bglH_3	815	118
bcrA_1	955	83
metE	920	52
yddE	945	58
xerD_1	155	53
hin_2	794	90
nagR	409	27
bglF_4	977	201
bglH_4	771	99
ywqD	848	119
gph_1	308	40
epsN	503	31
epsL	160	24
pglA	96	17
pglH	114	13
wbgU_1	183	30
copZ	560	17
ptcA	311	39
aguA_1	203	39
arcC1_1	271	42
aguA_2	203	44
cbnBA	153	8
bglF_5	482	112
bglA_2	96	19
ansA	865	18
ydjF_1	210	32
udg	931	27
celB	697	44
wbgU_2	183	31
fabG_1	881	49
arlR_1	933	62
adeC	945	67
gpmB	499	19
lnrK	901	48
lnrL	894	49
ybiT_3	910	90
pisA	723	6
lagD	535	72
sppA_1	389	40
abfA_1	1024	127
ugpB	994	65
melD	815	38
abfA_2	1024	125
mtlD_1	155	27
rpe_1	438	29
def_2	900	24
phoR_1	704	106
arlR_2	933	74
bcrA_2	955	80
xylB_3	553	99
yvdM_2	747	16
glxK	848	57
ycjT	861	67
rifL	899	46
tdh	872	54
ycjP	668	38
ycjO	899	38
ycjM	894	74
xerD_2	155	42
fosX	782	20
dprA	958	73
fabG_2	881	66
srlA	911	36
srlE_1	104	16
srlE_2	104	18
srlB	907	27
fsaA	895	40
sttH	832	29
fldH	900	51
hcxA	819	53
sorB	618	24
uxuA_1	863	67
ppaX	916	45
cspL	942	15
gadC_4	670	94
nanE_1	565	29
uxuA_2	863	61
fcbA2	650	118
hdfR_3	779	48
pyrE	866	21
lexA	710	28
hcaB	1054	42
menH_3	812	62
dnaJ	902	52
uvrA	697	55
glmS	874	77
sppA_2	389	40
gph_2	308	63
folA_1	778	18
xerD_3	13	8
ydjP	904	32
manR	311	45
manP	550	35
cbh_1	592	91
folA_2	778	24
arcC1_2	271	51
frlB	349	34
nodM	884	41
fliY	855	20
araN	192	27
ydbD	937	47
mazF	846	25
yteR	1025	74
mngB	570	81
rhaR_3	1048	143
npr_2	1009	101
umuC_1	516	50
gamP	859	71
srlR	790	29
ydjF_2	210	28
rpe_2	438	29
hxlB	432	19
mtlD_2	155	31
mtlA	155	44
atxA	136	33
umuC_2	516	71
glcB	587	38
nanE_2	565	24
rpiR	549	28
scrB	843	87
phoR_2	704	107
cbh_2	592	89
sorC_1	31	16
sorB_1	231	11
sorC_2	31	12
sorD	21	2
yggP	34	8
cspL_1	110	17
sorB_2	231	12
srlE	819	54
cspL_2	110	19
ybbH	83	11
fabG_3	30	10
arnC_4	65	35
dinB	531	53
bglF_6	225	42
murF_1	191	47
fucO_1	195	14
fucO_2	195	15
gatA_1	205	49
gatB_1	125	22
gmuR_1	530	33
mtlR_1	76	29
gatA_2	205	36
gatB_2	125	18
aroL	233	13
lacE	142	43
lacG	117	26
sigI	50	11
nudF	28	3
dtd3_1	215	47
tagD	179	16
rfbX_1	42	21
tagF	158	23
wbbD	388	23
dltA_1	50	14
panD	227	4
lgrD	28	14
grsB	19	7
murF_2	191	65
dcuR_1	33	3
dcuR_2	33	3
clpP_1	797	89
dtd3_2	215	45
rfbX_2	42	19
murR_3	223	80
kynB	81	16
pepDA	51	18
btuD_6	480	101
COQ5	186	23
mtlR_2	76	31
dltA_2	50	21
gmuR_2	530	46
lacR	560	37
manR_5	38	29
clpP_2	797	96
cspLA_4	154	18
srfAA	12	2
aguA	151	33
uviB	49	2
clpP_3	72	19
tdh_1	23	6
sigA_1	12	4
dbpA	17	6
mazF_1	39	8
sigA_2	12	7
mazF_2	39	9
epsM	404	21
drrA	112	27
sorM	35	6
sorC	253	23
levE	394	27
frlR	49	6
agaS	389	29
purR_3	181	30
ltrA	18	10
licB	14	3
gmuC_4	245	44
bglH_5	219	29
yyaP	381	5
phoR_3	15	7
lacF_6	467	48
gmuC_5	12	6
prsA_4	48	20
tdh_2	23	7
comR	5	1
purR_4	8	5
rsrIM	4	2
cna_1	126	35
cna_2	126	28
garK_1	205	64
gntP	38	4
steT_3	20	11
garK_2	205	52
licT_5	294	36
RBKS	11	6
wbpI	170	59
wbjC	170	65
capD	170	53
gnu	34	12
mdlB	4	4
hchA	665	19
sau3AIR	6	1
dapH_3	148	44
gadB	324	32
gadC_5	178	20
dxs_1	42	15
dxs_2	42	13
walR_1	218	19
pepF1	139	22
apbE_1	203	12
rclA_1	11	7
rclA_2	11	7
aspC	112	14
zosA_1	424	74
panE	360	26
fhuD	53	11
rbsR_1	24	10
rbsK_1	11	5
smc_4	144	32
copB_1	103	44
copA_1	192	92
copY_1	105	24
wecA	292	85
treR_1	15	6
phoP_1	239	42
walR_2	218	21
baeS	65	11
copB_2	103	41
copA_2	192	79
copY_2	105	15
fda_1	2	1
fda_2	2	2
ydhK	387	25
phoP_2	239	42
mco	211	43
copA_3	90	39
strA_1	183	30
rbsK_2	11	4
treA_1	18	11
strA_2	183	21
rbsR_2	24	10
merR1	147	10
merA	149	15
oppF_4	107	26
rhaR_4	657	68
apbE_2	203	11
urdA	224	5
treR_2	15	5
treA_2	18	8
zosA_2	424	58
glmM_1	12	7
glmS_3	10	4
wzxC	8	4
ahpC_1	36	9
ahpC_2	36	12
hrtA	66	18
glmM_2	12	5
glmS_4	6	3
lacC	267	13
gatC	60	10
umpB	150	20
bmr3_1	108	43
slyA	115	14
lacX_1	371	50
kduI	12	2
vanYB	353	20
yfmO_1	146	10
yfmO_2	146	9
tagU_4	128	65
cdr_3	107	41
ricR	33	4
noxE	321	16
manA	8	2
msrA2	206	22
phnX_1	448	31
phnX_2	448	30
bglC_1	425	74
artJ	11	4
bmr3_2	108	36
nagK	83	8
bglC_2	425	73
celA	144	7
gmuA	139	2
tet(L)	162	12
tet(M)	304	39
lacX_2	371	48
degA_4	519	31
agrA	494	14
ptsG_4	105	49
xylR	1	1
gpsA_3	11	7
pgdA	91	21
bglK_1	45	27
comFA_1	15	12
comFA_2	15	11
pgcA_1	134	20
saeR	75	9
ybdM	36	8
gpr_1	103	24
gpr_2	103	22
yoaB	81	20
ctpF	46	9
benM	53	10
glcB_1	6	5
apt_1	42	8
siaM	33	4
lldD	2	2
desK	17	5
xylH_1	38	20
helD_3	26	10
algA	132	8
gmuF_1	4	4
algD	3	2
pgcA_2	134	20
gmuF_2	4	3
dagK	31	9
btsS	88	22
steT_4	2	2
erm	482	10
apt_2	42	5
aadK	463	12
COQ5_3	463	15
lsa(E)	185	5
ant1	20	4
kdpB	30	8
hxpB	360	11
bglK_2	45	21
xylB_4	43	13
rbsB	5	1
xylH_2	38	16
rbsA	23	10
xylA	113	42
nagC	115	37
efpA	13	6
repB	77	24
cat	92	6
repN	227	17
topB_5	559	175
yurK	305	16
frlD	401	8
frlB_3	402	20
rcsC_3	613	123
glcB_2	6	5
pinR	548	12
mshA_1	40	14
dacA_1	7	7
dacA_2	7	6
rhaR	45	15
mshA_2	40	12
mutS2_3	28	8
rhaS_3	838	111
melA_3	72	18
yhhX_1	22	10
yhhX_2	22	5
rihC	61	9
dcuD	62	14
glf	15	9
adhR	479	32
cusS	6	3
hdfR_4	340	13
dpnA	3	1
ydjA	3	2
rhaS_4	123	49
nanK	93	30
phnC	92	25
phnPP	92	29
ywnH	98	25
brpA	27	11
srrA_3	120	41
bin3	211	82
ugpA	340	24
sacA	489	19
suhB	7	3
csp	250	7
hdfR	40	9
glcR_1	135	38
gudD_1	155	43
gudD_2	155	51
citN_1	96	33
citM	14	1
gudD_3	40	18
garR_1	14	2
garR_2	14	2
dapA_1	156	45
cdaR	146	36
pspA_1	50	9
betI_1	106	11
moeZ	143	12
csn2	120	17
cas2	121	10
cas1	119	15
cas9	105	49
cycA	185	33
epsF	266	25
natR	41	9
accC	131	27
lolD_3	104	36
oadA	97	18
gcdB	97	25
cfiA	96	12
citN_2	96	33
ompR	68	9
drrB	85	17
ydhP	85	18
ytcD	86	12
celB_3	149	67
pspA_2	50	10
lolD_4	65	20
ifcA	182	58
expZ	70	29
galM_1	150	35
gltC_3	81	27
btuD_7	60	33
ptsG	18	7
mro	126	25
hin_3	104	31
lolD_5	24	11
betI_2	106	15
glcR_2	135	34
galM_2	150	40
dapA_2	156	36
prrA	79	12
yabJ	8	4
patB_1	19	10
moaA	28	13
speG	12	3
garR	140	19
cheB	661	43
citN_3	8	5
patB_2	19	11
opuBA	48	14
ybbH_3	216	64
cypC_1	90	22
dppE_1	157	25
oppC_1	98	16
gsiC_1	135	17
lacA_1	115	10
lacB_1	116	16
lacD_1	222	42
oppD_4	100	24
oppC_2	98	17
gsiC_2	135	16
appA	137	18
yfkM	179	8
yhjX	196	18
gltC_4	9	5
ccpA_3	110	28
cypC_2	90	20
cypC_3	66	10
dppE_2	157	32
gph_3	60	21
lacE_4	45	15
lacD_2	222	34
lacB_2	116	5
lacA_2	115	12
ribD	48	14
ribE	48	11
ribBA	48	13
ribH	65	12
yxdL_1	138	15
abf2	52	9
mntH_1	138	50
aaaT	78	14
ltaS1	35	12
iolG	57	18
lacL_1	18	5
lacL_2	18	5
iolU	45	7
yxdL_2	138	16
csbB	12	6
wecC	54	12
mnaA	99	32
yteP	59	7
araQ_7	401	82
ulaB_3	53	7
dkgB_1	87	13
ltaS2	30	7
ulaA_5	77	32
lacF_7	128	19
uvrA_4	149	51
dkgB_2	87	10
mntH_2	138	33
lrgA	15	3
ohrB	412	18
czcD_1	265	27
czrA_1	289	17
mvaA	12	3
thlA	11	2
metQ_4	62	23
czcD_2	265	23
czrA_2	289	14
pacS	119	19
msrA_5	38	11
metQ_5	11	5
zosA_3	46	17
phnW_1	65	22
phnW_2	65	21
lacZ	72	21
zntB	25	6
thiE	9	4
thiM	8	3
thiD_1	13	9
thiD_2	13	9
blaSE	8	2
araD_1	19	7
ywpJ	74	14
yxlF	15	6
levE_1	73	15
mpr	22	2
phnE	210	25
nagR_3	175	26
levE_2	73	15
COQ3	9	2
lnrN	9	4
araD_2	19	6
manZ_6	523	56
nagR_4	9	4
ycjT_1	20	15
ycjT_2	20	15
manX_6	360	26
manX_7	142	16
manZ_7	239	35
wbbL	30	4
lacG_4	288	28
lacD_3	23	6
lacC_5	54	20
ramC	8	4
ctrA	3	2
arlR_3	18	9
arnB	69	18
immA	17	10
glpG	2	2
ycsE	15	8
dapH_4	44	8
fimA	17	8
tdk_1	220	14
yfnB_3	18	8
bshA	29	10
gdnD	2	1
fdhA	10	5
frmA	69	11
hxlR	71	8
rlmG	13	2
bin3_4	520	53
tdk_2	220	17
arcC1_3	22	9
arcC1_4	13	4
mprF_3	20	10
hsdM	22	9
ycjU	11	1
chbG	19	4
ulaA	14	7
smc	34	18
aes	67	22
cadA	107	17
yhaO	109	15
fba	29	6
pelX	14	7
yvdM_3	13	6
accD	103	12
fabD	101	11
yifK_1	2	2
lacS_1	10	9
lacS_2	10	10
yifK_2	2	2
purD_1	8	5
fcl	85	6
purD_2	8	6
deoB_1	10	4
xpkA_1	480	17
xpkA_2	480	20
ltrA_1	4	2
idnO	33	4
catM	26	4
deoB_2	10	4
yhfX	9	3
yhfS	9	4
php	9	3
ltrA_2	4	2
mngB_3	22	16
cspL_3	5	2
uxaB_1	38	26
ypwA_1	3	3
ypwA_2	3	3
kbaY_1	11	7
kbaY_2	11	5
uxaB_2	38	19
resE	60	20
ahpF_1	22	17
ahpF_2	22	16
argE	9	2
gtfA_1	18	10
rafB_1	2	2
rafB_2	2	2
sspB	2	2
gtfA_2	18	11
metI	101	14
araP_1	18	10
dasA_1	84	14
tpiA_1	31	7
pepV_3	20	9
ydjI	28	2
tpiA_2	31	7
ssb_3	424	42
dasA_2	84	10
araP_2	18	5
gmuE_4	507	33
crr	70	15
ponA	114	18
lacD2_1	220	27
mtgA	107	17
madA_1	10	6
tnpR	18	7
madA_2	10	6
lacD2_2	220	27
agaS_1	139	6
agaS_2	139	8
nylB	378	10
epsJ	362	13
pseB	329	6
neuB	348	7
epsM_1	42	6
epsN_1	29	7
legF	270	9
epsN_2	29	8
epsM_2	42	7
dkgA	12	4
Int-Tn	393	42
uvrB_1	138	9
uvrB_2	138	7
immR	10	4
yteT_1	8	7
yteT_2	8	7
panE_3	18	4
xerC_9	686	99
dinB_3	103	52
topB_6	119	76
xerC_10	604	88
ytrB	19	6
mdcB	30	3
fabG2	49	4
menD	52	13
gmhA	128	3
cugP	128	5
hddA	127	6
tagA	65	8
hsdR_1	5	5
gcvH_1	2	2
uxaA_1	10	8
uxaA_2	10	8
gcvH_2	2	2
gmuD_4	430	57
bglK_3	3	3
hsdR_2	5	5
aphA	436	4
satA	442	8
agaSK	4	2
yedK_1	1	1
rhaB_1	5	5
fucI	1	1
drdA	1	1
iolS_1	40	15
iolS_2	40	15
rhaS	9	4
yedK_2	1	1
opuCA_1	210	14
opuCA_2	210	15
ypdA	6	5
gmk_3	2	2
rhaB_2	5	5
cscB	136	7
pox5_1	7	6
pox5_2	7	7
ywqE_1	12	10
tagU_5	4	4
glyG	1	1
ywqE_2	12	9
yjcQ	31	3
citN	60	16
liaR	25	5
skfE	3	2
ybaK	7	5
glvA	20	3
adk_1	17	7
fda	72	9
gapA1	21	5
adk_2	17	8
yvdD_1	25	6
tmpC_1	156	10
yeiL	162	11
glnQ_3	157	10
cpdA	406	10
yfkN_1	11	4
tmpC_2	156	8
copA_4	25	10
dinG_4	42	10
yvdD_2	25	2
yfkN_2	11	6
ybhF	20	5
nagA	39	8
rapA_1	53	20
srrB	7	5
ugd_1	12	9
nagK_1	67	5
rapA_2	53	25
ugd_2	12	9
nagK_2	67	6
cytR	70	3
cbh_3	93	26
ubiX	1	1
rcsC_4	165	52
bin3_5	327	33
gbpA	6	6
wecD	18	5
arlS	15	11
bamHIM	9	2
norR_1	186	31
norR_2	186	33
mhqA_3	189	16
levS	1	1
malH_1	8	8
malH_2	8	6
glpQ_1	47	16
ahpF_3	4	3
essC_1	16	11
essC_2	16	11
lgrB	4	3
glpQ_2	47	17
cadA_4	22	12
artM_3	22	6
metP	5	2
nagE	5	4
qmcA	3	3
ywpJ_3	14	8
yecD_1	19	9
tagD_1	8	3
tagD_2	8	3
ywtE	6	4
iap	2	2
yecD_2	19	9
baeS_1	14	2
baeS_2	14	3
agaC_1	51	18
rfbC_1	90	12
fsa	20	6
araN_1	569	17
lnrL_1	9	6
agaC_2	51	16
sarA	12	6
lnrL_2	9	5
rfbC_2	90	12
metN2_1	13	7
gmuR_3	15	12
metN2_2	13	9
araN_2	569	16
rhaR_5	450	46
prsA_5	3	2
manZ_8	138	24
agaC_3	13	6
ugl_3	186	12
mntB_1	462	14
mntB_2	462	22
mntB_3	12	9
mntR	19	7
treB	27	19
gspA_3	31	9
smc_5	9	7
recT	13	7
bglH_6	16	8
bglH_7	8	3
ugpQ	82	17
srlA_1	11	5
srlB_1	11	4
cmtB_1	12	6
radD	5	1
gldA	14	7
arnC	365	31
srlB_2	11	5
srlA_2	11	5
rpoD	9	2
ycjP_1	233	6
ycjP_2	233	7
cynR	51	19
cmtB_2	12	5
bspRIM	22	9
oatA_3	2	2
tadA	3	2
rspR	72	14
ydeA_1	11	10
ydeA_2	11	11
melC	16	6
dasR	27	9
ltxB	1	1
ecoRVR	1	1
wbbD_1	1	1
srtA_1	26	19
srtA_2	26	21
melD_3	188	17
malR	11	6
haeIIIM	11	4
malX_1	11	10
malX_2	11	8
wbbD_2	1	1
ecsA_1	42	14
wbpA	21	5
ecsA_2	42	15
uvrA_5	35	18
agaA_4	11	7
pbpX	8	8
copY_3	5	3
ydhK_1	5	2
fprA1	5	3
ydhK_2	5	4
dap	4	2
xylT_1	65	16
xylT_2	65	15
lgt_4	52	19
xerC_11	536	69
recF_1	85	17
lldR	18	3
rbsC	18	1
recF_2	85	18
dgaR_6	40	19
pepF1_3	3	3
insK_1	10	7
topA_1	22	9
insK_2	10	5
topA_2	22	4
acr3_1	27	13
acr3_2	27	12
arsA_1	16	6
arsD	30	6
sdpR	29	4
arsA_2	16	3
pre	25	10
sipT	18	3
comEC_1	16	11
comEC_2	16	14
yesO_3	7	7
rep	68	17
vdcB	593	5
umuC_3	30	14
uppP_1	23	5
mhpE	129	7
abfA_3	20	10
ycjO_1	2	2
ycjO_2	2	2
zitB	7	5
npr_3	26	13
gmuE	56	13
yoeB	406	8
entS	117	3
mapP_3	4	4
licA_4	7	6
ptcA_1	5	4
ptcA_2	5	4
bcrR	34	6
bcrA_3	26	14
bcrB	22	4
uppP_2	23	4
ppaX_1	11	10
ppaX_2	11	6
hcaR	2	2
murR_4	14	11
sufS_1	304	9
ligA_1	540	10
ghrB	231	7
tetM	45	15
ftsW	75	9
cutD	343	6
hisK	345	3
sufS_2	304	7
qseB	373	3
bglC_3	105	6
pemK	362	9
sspP	255	20
sacA_1	60	8
degA_5	124	15
lacG_5	135	14
ssbA	319	1
ligA_2	540	5
yurK_1	190	9
fadR	170	5
sacA_2	60	4
frlB_4	195	17
yurK_2	190	7
bin3_6	247	26
bin3_7	149	22
ermC	50	3
aacA-aphD	186	21
bin3_8	90	12
xerC_12	390	58
xerC_13	285	45
mdtD	6	4
sarZ	9	2
dinF_1	3	3
abn2	1	1
cycA_3	10	7
uxaC_1	269	15
uxaC_2	269	16
araQ_8	276	42
yesV	14	4
dinF_2	3	3
ogt_1	8	4
coiA	5	3
mfd_1	3	3
mfd_2	3	3
ogt_2	8	5
mtlR_3	5	4
dnaC_1	5	2
dnaC_2	5	4
aguA_3	8	6
endA_1	2	2
ppsC	1	1
madC	5	4
madD	2	2
yvbW_1	2	2
yvbW_2	2	2
selA	2	2
purC_1	3	2
purC_2	3	3
purF_1	2	2
purF_2	2	2
pgl_1	11	6
yecS	3	3
rlmB	2	2
cof_1	1	1
cof_2	1	1
nrtD	7	3
pgl_2	11	5
mdxE_1	2	2
mdxE_2	2	2
ybiT_4	7	5
ybiT_5	3	3
pglD	4	4
rpiR_1	5	5
ptsG_5	9	7
yhhS	4	2
nanE_3	7	7
rpiR_2	5	3
endA_2	2	2
mngB_4	1	1
anr_1	52	6
gpmA_5	19	8
licC_7	9	8
treP_1	17	10
scrB_3	22	11
anr_2	52	7
nrdF1	52	6
scrB_4	1	1
treP_2	17	7
msrC	18	11
fbp_1	9	7
fbp_2	9	8
ycjM_1	4	4
ycjM_2	4	4
bcrA_4	4	4
polC	2	2
trxA_1	60	11
acoR	6	2
acoA	8	2
acoB	7	3
pdhC	53	24
ydjJ	7	5
trxA_2	60	13
yybR	3	3
aes_3	2	2
topB_7	21	18
xynB_3	8	7
lipO_1	10	7
lipO_2	10	7
guaA_1	274	7
hhaIM	417	7
rpmGA_1	549	6
msmX_1	233	6
ribZ_1	531	9
kdgK_1	168	7
rpsN2_1	546	7
glxR_1	11	3
glxR_2	11	3
scaC_1	441	12
ssaB_1	476	8
ndvA	490	19
rpsN2_2	546	9
rpmF_1	547	5
rpmGA_2	549	7
yjiA	527	10
epsF_1	128	6
queT	9	2
epsF_2	128	9
kdgK_2	168	10
scaC_2	441	22
ssaB_2	476	13
ribZ_2	531	10
metB_1	311	3
metB_2	311	3
bfrA	195	6
ebgA	270	5
yteP_3	292	18
yteP_4	220	10
guaA_2	274	15
rpmF_2	547	5
yknZ	115	2
araQ_9	18	12
msmX_2	233	7
xerC_14	165	30
gmuE_5	195	21
xerC_15	84	20
panB	213	2
panC	194	9
resA	229	3
xerC_16	30	15
xerC_17	11	6
ftsW_3	14	11
expZ_1	19	17
expZ_2	19	14
ptrB	1	1
bglF_7	42	12
moeB	2	2
pglJ	9	5
ptsJ	19	9
msbA	58	14
gdh_1	18	6
cpsY	17	5
gdh_2	18	6
melR	20	9
znuA_1	41	12
gldA_1	13	5
gldA_2	13	5
ytfQ_1	12	4
ytfQ_2	12	4
znuA_2	41	17
feoB_1	11	6
feoB_2	11	6
pehX	153	7
murJ_4	33	25
uidA	258	21
tsgA	17	2
kdsB	6	2
bglA_3	5	4
celB_4	5	5
pgaC_1	5	3
yheH_1	1	1
yheH_2	1	1
yitU_1	25	9
yitU_2	25	10
secB	5	4
yadG_1	5	4
paiA_3	23	9
pgaC_2	5	2
yvqK_1	8	4
yadG_2	5	4
cdr_4	10	7
arsA	15	6
qacC	11	7
copB_3	2	2
yvqK_2	8	4
dhaK_1	26	13
mcrB	9	5
dhaK_2	26	5
mntH_3	12	3
mdcB_1	2	2
mdcB_2	2	2
feuC_1	4	3
feuC_2	4	3
OSGEPL1	16	3
comEA	11	5
tetA_1	16	10
azoB	28	1
rutB_1	4	4
rutB_2	4	4
glpE_1	39	5
glxK_1	57	13
glxK_2	57	13
fetB_1	6	4
fetA_1	9	7
mshD	4	3
tetA_2	16	11
glpE_2	39	4
fetB_2	6	5
fetA_2	9	6
topB_8	9	8
parA	15	5
kdgA_1	289	15
gatY	7	4
apsI	5	4
rpiB	5	4
rpe_3	10	5
kdgA_2	289	19
yjhH	30	9
kdsD	11	5
amiA_1	4	4
phnT	7	2
amiA_2	4	4
dnaI_1	3	2
dnaI_2	3	3
xylG_1	20	11
xylG_2	20	11
ala_1	1	1
ala_2	1	1
pcrA_1	13	6
pcrA_2	13	10
hlyB	3	2
melA_4	9	3
fnr	9	1
levD_1	8	2
sorA_5	81	21
levD_2	8	3
cbh_4	8	7
hsdS_1	15	3
yhdE	6	1
ldh_3	15	8
hsdS_2	15	4
ohrB_3	11	6
yutF_1	8	3
ypjQ_1	8	3
yumC_1	8	4
yugI_1	8	4
yhdG_1	9	6
guaB_1	8	5
serS_1	8	3
guaB_2	8	6
serS_2	8	4
tadA_3	6	4
yutF_2	8	4
ypjQ_2	8	4
yumC_2	8	5
yugI_2	8	3
yhdG_2	9	6
dps_3	5	5
tcrA	3	2
yafQ	29	2
amt_1	31	10
amt_2	31	10
doc_1	121	6
manR_6	2	2
doc_2	121	8
citC_1	11	7
citD_1	14	4
citE_1	17	6
citF_1	14	6
citX_1	14	4
baeE	5	2
ndk_1	3	3
ndk_2	3	3
citG_3	15	5
citX_2	14	3
citF_2	14	4
citE_2	17	4
citD_2	14	1
citC_2	11	1
cidA_1	1	1
gla_1	2	2
yclQ_1	3	3
yclP_1	2	2
yclO_1	3	3
yclN_1	4	4
yueI_1	2	2
gshAB_1	4	4
gla_2	2	2
cidA_2	1	1
niaR	12	9
xylP	23	12
ychF_1	6	2
srrA_4	3	3
ychF_2	6	5
yclQ_2	3	3
yclP_2	2	2
yclO_2	3	3
yclN_2	4	4
yueI_2	2	2
gshAB_2	4	4
gshAB_3	1	1
ulaC_1	10	6
ulaC_2	10	6
cas9_1	16	11
cas9_2	16	12
phoP_3	21	8
murF_3	17	9
sacY_1	9	4
sacY_2	9	4
ygaZ	21	8
inlA	9	2
clpC_3	5	5
oppF_5	4	2
oppD_5	2	2
oppC_3	2	1
cadC_1	42	14
phoP_4	7	2
cadC_2	42	12
uidB	8	1
mazE	56	3
ybiV	1	1
repD	174	18
dctM_1	5	5
dctM_2	5	5
regX3	5	5
ycgJ	1	1
clpB_1	3	3
lepA_1	2	2
ugpQ_1	1	1
hslO_1	3	3
hslO_2	3	3
ugpQ_2	1	1
hchA_3	1	1
lepA_2	2	2
eis_3	2	2
clpB_2	3	3
clpB_3	1	1
glcU_3	10	5
glcU_4	8	4
ziaR	3	2
exuR_3	11	8
nfrA1	10	5
norR_3	15	11
pknD	16	13
lacC_6	9	5
guaB_3	2	2
lgt_5	4	3
arsA_3	1	1
acr3_3	3	3
acr3_4	1	1
yadG_3	2	2
xerS_1	6	5
mta_1	27	9
mta_2	27	8
xerS_2	6	4
alaS_1	3	3
alaS_2	3	3
clpE_1	4	4
clpE_2	4	4
dltA_3	11	5
manP_7	6	5
purR	40	15
panP_1	1	1
panP_2	1	1
gltC	18	8
toxN	36	5
pgsA_1	14	5
pglH_1	58	5
mccF_1	5	5
pglH_2	58	4
arnC_5	1	1
arnC_6	1	1
pgsA_2	14	8
mccF_2	5	3
glcR_3	4	4
sorA_6	5	3
levD_3	1	1
paiA_4	2	2
yfiR	3	1
repE	129	15
melR_4	9	7
rcsC_5	22	12
trxB_1	15	10
trxB_2	15	12
rfnT	3	2
ywqD_3	7	5
dasC	1	1
melD_4	8	5
dld	1	1
tuaA	1	1
gloB	3	2
tetM_1	61	12
tetM_2	61	14
yajO	39	2
chbB	39	3
ssb_4	87	17
mtnB_1	1	1
fabI_1	2	2
ilvE_1	2	2
ykuT_1	1	1
rph_1	2	2
glnP_1	7	3
glnM_1	2	2
glnH_1	2	2
mtnB_2	1	1
mhqD_3	1	1
mhqD_4	1	1
fabZ_3	2	2
fabI_2	2	2
ilvE_2	2	2
ykuT_2	1	1
rph_2	2	2
glnP_2	7	4
glnM_2	2	2
glnH_2	2	2
spxA_6	2	2
mhqD_5	1	1
mhqD_6	1	1
mtnB_3	1	1
gatC_4	66	13
umpB_3	24	2
guaC_1	25	6
guaC_2	25	5
aglB	11	4
gamP_1	21	4
cna_3	6	4
gamP_2	21	4
entP_1	9	3
entP_2	9	4
sipV_1	2	2
thyA_1	1	1
ettA_1	5	3
nhaK_1	1	1
cca_1	2	2
pflB_1	2	2
pflA_1	2	2
ppaC_1	2	2
garB_1	3	3
ribX_1	2	2
garB_2	3	3
ppaC_2	2	2
pflA_2	2	2
pflB_2	2	2
sipV_2	2	2
thyA_2	1	1
ettA_2	5	5
nhaK_2	1	1
